Nome,Idade,Experiência,Especialidade,Horas,Horas devidas,Horas em haver,Dias restritos
George,35,10,Infectious,40,10,0,23/03:manhã/tarde/noite;24/03
Hugh,56,20,Dermatologist,40,0,4,
Will,32,4,Ophthalmologist,30,12,0,
Clive,61,30,Allergist,40,4,0,
Julia,39,8,Obstretrician,45,0,2,
Halle,44,24,Dermatologist,40,8,0,23/03:manhã/tarde/noite;24/03
Angel,47,22,Cardiologist,40,0,8,
Keira,70,35,Allergist,35,0,4,
Lucas,34,5,Ophthalmologist,40,0,5,
Vitor,29,1,None,35,6,0,23/03:manhã/tarde/noite;24/03
Gustavo,43,12,Dermatologist,45,2,0,
Otavio,31,2,None,45,4,0,
Alex,33,3,Dermatologist,40,2,0,
Gabriel,43,11,Allergist,30,0,2,
Pedro,58,23,Ophthalmologist,45,0,4,
Mario,52,21,Obstetrician,40,0,4,
