	Values	Real values	Min	Max	Mean
Inconsistent assignment over weeks	13528	460	19	36	29
Daily workload over recomendation	1224	108	0	18	7
Monthly workload deviation	11513	423	16	34	26
Weekly workload deviation	85344	1144	40	90	72


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
30/03 (Qua)	Julia	Pedro	George	Clive	Clive	Halle	Hugh	Otavio	Keira	Alex	Will	Gabriel	
31/03 (Qui)	Halle	Mario	George	Gustavo	Lucas	Pedro	George	Otavio	Hugh	Angel	Clive	Julia	
01/04 (Sex)	Halle	Mario	George	Gustavo	Vitor	Mario	Gustavo	Alex	Lucas	Otavio	Julia	Alex	
02/04 (Sab)	George	Hugh	Vitor	Gabriel	Keira	Gustavo	Angel	Mario	Clive	Julia	Halle	Lucas	
03/04 (Dom)	Angel	Mario	George	Alex	George	Hugh	Keira	Pedro	Gustavo	Alex	Will	Vitor	
04/04 (Seg)	Julia	Pedro	Hugh	Gabriel	Julia	Pedro	Angel	Mario	Halle	Otavio	Will	Gustavo	
05/04 (Ter)	Hugh	Vitor	Angel	Pedro	Lucas	Vitor	Gabriel	Pedro	Clive	Lucas	Keira	Otavio	


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
06/04 (Qua)	Halle	Pedro	George	Julia	Will	Vitor	Gustavo	Gabriel	Keira	Pedro	Clive	Angel	
07/04 (Qui)	Gustavo	Alex	George	Otavio	Hugh	Alex	George	Otavio	Clive	Mario	Julia	Halle	
08/04 (Sex)	Hugh	Keira	George	Gustavo	Hugh	Lucas	Will	Otavio	Gabriel	Mario	Lucas	Alex	
09/04 (Sab)	Hugh	Keira	Otavio	Pedro	Halle	Otavio	Clive	Angel	George	Vitor	Julia	Mario	
10/04 (Dom)	Angel	Gustavo	Will	Lucas	Alex	Pedro	Hugh	Lucas	Angel	Alex	Julia	Halle	
11/04 (Seg)	Gustavo	Mario	George	Hugh	George	Will	Hugh	Gabriel	Vitor	Otavio	Gustavo	Pedro	
12/04 (Ter)	Angel	Keira	Julia	Mario	Will	Gabriel	Halle	Alex	Gustavo	Otavio	Lucas	Vitor	


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
13/04 (Qua)	Halle	Keira	Clive	Angel	George	Keira	Clive	Pedro	Will	Pedro	Clive	Gabriel	
14/04 (Qui)	Julia	Halle	Alex	Mario	Hugh	Mario	George	Keira	Julia	Halle	Gustavo	Otavio	
15/04 (Sex)	Hugh	Keira	George	Pedro	Gabriel	Mario	Angel	Alex	Clive	Gabriel	Hugh	Lucas	
16/04 (Sab)	Will	Halle	Angel	Gustavo	George	Julia	Alex	Pedro	Lucas	Mario	Vitor	Otavio	
17/04 (Dom)	Hugh	Gustavo	George	Angel	Will	Keira	Hugh	Julia	Angel	Alex	Julia	Halle	
18/04 (Seg)	Pedro	Mario	Hugh	Lucas	Pedro	Mario	Clive	Gabriel	Vitor	Otavio	Gustavo	Alex	
19/04 (Ter)	Will	Angel	Keira	Lucas	George	Gabriel	Clive	Angel	Vitor	Gustavo	George	Pedro	


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
20/04 (Qua)	Otavio	Mario	Clive	Julia	Hugh	Lucas	Clive	Otavio	Halle	Keira	Will	Pedro	
